,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
3473,F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
3474,M,CAT,County Attorney's Office,County Attorney,Fulltime-Regular,County Attorney,07/16/1984,1984
3475,M,POL,Department of Police,PSB 4th District Community Action Team,Fulltime-Regular,Master Police Officer,01/18/2005,2005
3476,M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide I,02/10/2014,2014
3477,F,HCA,Department of Housing and Community Affairs,Housing Administration,Fulltime-Regular,Information and Referral Aide II,02/06/2006,2006
3478,M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Master Firefighter/Rescuer,09/08/1985,1985
3479,M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,09/02/2008,2008
3480,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),11/06/2000,2000
3481,M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer II,02/27/2012,2012
3482,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,08/27/2012,2012
3483,M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Master Firefighter/Rescuer,01/03/1989,1989
3484,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/30/2001,2001
3485,M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,07/24/1989,1989
3486,M,DLC,Department of Liquor Control,White Oak,Fulltime-Regular,Liquor Store Assistant Manager,07/14/1986,1986
3487,F,POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,05/19/2014,2014
3488,M,POL,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,01/14/2008,2008
3489,F,POL,Department of Police,HQ Office of the Chief Internal Affairs Division,Fulltime-Regular,Police Sergeant,01/26/2004,2004
3490,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/22/2015,2015
3491,F,FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor II,09/06/2016,2016
3492,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/02/2010,2010
3493,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Manager III,12/03/2012,2012
3494,F,LIB,Department of Public Libraries,Germantown Library,Fulltime-Regular,Library Associate II,02/10/1986,1986
3495,M,OAG,Office of Agriculture,Soil Conservation,Fulltime-Regular,Business Development Specialist III,10/02/2005,2005
3496,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician II,08/10/1992,1992
3497,F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Principal Administrative Aide,02/25/2001,2001
3498,F,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Librarian I,10/06/2014,2014
3499,F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist III,03/03/2003,2003
3500,M,DTS,Department of Technology Services,ESOD Server Support,Fulltime-Regular,Manager III,09/09/2002,2002
3501,F,POL,Department of Police,ISB Criminal Investigations Division,Fulltime-Regular,Police Lieutenant,03/03/1997,1997
3502,F,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Office Services Coordinator,06/11/2001,2001
3503,M,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Transit Marketing Specialist,10/17/2016,2016
3504,M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Transportation Systems Technician II,02/24/2014,2014
3505,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Equipment Operator,08/15/2007,2007
3506,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff I,06/01/2015,2015
3507,F,HHS,Department of Health and Human Services,Chief Special Needs Housing,Fulltime-Regular,Chief Special Needs Housing,08/08/2016,2016
3508,M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/22/2005,2005
3509,M,DOT,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,09/24/1990,1990
3510,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/08/2004,2004
3511,M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer II,03/19/2007,2007
3512,M,PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist II,11/15/2004,2004
3513,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014
3514,M,DLC,Department of Liquor Control,Milestone,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012
3515,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Call-Taker II,06/15/2015,2015
3516,F,DGS,Department of General Services,Facilities,Fulltime-Regular,Administrative Specialist I,08/11/2014,2014
3517,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/28/1997,1997
3518,F,HHS,Department of Health and Human Services,Human Resources,Fulltime-Regular,Administrative Specialist I,04/11/1999,1999
3519,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,04/09/1990,1990
3520,F,COR,Correction and Rehabilitation,DS Inmate Records,Fulltime-Regular,Correctional Records Technician,06/11/2007,2007
3521,M,OMB,Office of Management and Budget,Capital Budget Management,Fulltime-Regular,Management and Budget Specialist III,05/18/2015,2015
3522,M,POL,Department of Police,ISB Family Crimes Division Pedophile Section,Fulltime-Regular,Master Police Officer,03/04/1991,1991
3523,M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,05/21/2007,2007
3524,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,11/03/2014,2014
3525,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Program Manager I,08/24/1987,1987
3526,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Equipment Operator,10/31/1999,1999
3527,M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,06/01/2004,2004
3528,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/23/2006,2006
3529,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,09/19/2016,2016
3530,M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,07/17/2006,2006
3531,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007
3532,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/11/2008,2008
3533,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Master Police Officer,03/16/1998,1998
3534,M,CEC,Community Engagement Cluster,Regional Services Centers,Fulltime-Regular,Director Regional Services Center,09/07/1999,1999
3535,M,POL,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Police Officer III,01/18/2005,2005
3536,M,POL,Department of Police,PSB 4th District Station,Fulltime-Regular,Police Lieutenant,09/26/1983,1983
3537,M,FRS,Fire and Rescue Services,Technical Operations,Fulltime-Regular,Telecommunications Specialist,09/10/2012,2012
3538,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician II,08/14/2000,2000
3539,F,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Principal Administrative Aide,01/31/1999,1999
3540,F,COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 2,Fulltime-Regular,Correctional Specialist I,04/02/2007,2007
3541,F,HCA,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Program Manager I,07/03/2000,2000
3542,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/09/2004,2004
3543,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker II,01/03/1995,1995
3544,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,08/04/2014,2014
3545,M,HHS,Department of Health and Human Services,Compliance Team,Fulltime-Regular,Senior Financial Specialist,09/12/1994,1994
3546,M,DOT,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Sign Fabricator I,04/05/1999,1999
3547,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,02/26/2002,2002
3548,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/11/1998,1998
3549,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/15/2005,2005
3550,F,POL,Department of Police,PSB Duty Commander,Fulltime-Regular,Police Captain,07/06/1992,1992
3551,M,POL,Department of Police,MSB Personnel Division Background Section,Fulltime-Regular,Background Screening Specialist,01/16/2001,2001
3552,M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
3553,F,LIB,Department of Public Libraries,Aspen Hill Library,Fulltime-Regular,Manager III,04/21/2014,2014
3554,M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,03/26/2006,2006
3555,M,REC,Department of Recreation,Automation,Fulltime-Regular,Information Technology Technician III,11/28/2016,2016
3556,M,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,08/30/1988,1988
3557,F,FIN,Department of Finance,Director's Office,Fulltime-Regular,Manager I,01/03/1995,1995
3558,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011
3559,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/18/2016,2016
3560,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,09/17/1990,1990
3561,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,05/01/2006,2006
3562,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/23/1994,1994
3563,F,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Services Coordinator,09/25/1984,1984
3564,M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Master Firefighter/Rescuer,02/22/1994,1994
3565,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,12/03/1989,1989
3566,F,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,07/18/2005,2005
3567,M,POL,Department of Police,ISB Major Crimes Division Robbery Section,Fulltime-Regular,Police Officer III,01/14/2008,2008
3568,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,District Supervisor,05/03/1993,1993
3569,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,08/12/2013,2013
3570,M,HHS,Department of Health and Human Services,Public Health Emergency Preparedness and Response Program,Fulltime-Regular,Emergency Management Specialist I,09/19/2016,2016
3571,F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Supervisor (Sergeant),09/25/2000,2000
3572,M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,10/13/1987,1987
3573,M,FRS,Fire and Rescue Services,Fourth Battalion - Administration,Fulltime-Regular,Fire/Rescue Captain,01/23/1995,1995
3574,F,OHR,Office of Human Resources,Stress Management Team,Fulltime-Regular,Psychologist Supervisor,05/08/1989,1989
3575,M,FRS,Fire and Rescue Services,Fourth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/04/2001,2001
3576,F,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Manager III,02/27/2012,2012
3577,F,HHS,Department of Health and Human Services,Income Supports,Parttime-Regular,Program Specialist I,10/17/2016,2016
3578,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Unit Commander (Captain),01/09/1995,1995
3579,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/27/2007,2007
3580,F,REC,Department of Recreation,Aquatic Team Management,Fulltime-Regular,Aquatic Programs Supervisor,11/20/1994,1994
3581,M,POL,Department of Police,PSB 6th District Traffic Squad,Fulltime-Regular,Police Officer III,04/12/1999,1999
3582,F,HHS,Department of Health and Human Services,STD and HIV Services,Parttime-Regular,Medical Doctor IV - Physician,07/06/2009,2009
3583,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager II,10/22/2001,2001
3584,F,DLC,Department of Liquor Control,Pike,Fulltime-Regular,Liquor Store Clerk II,09/15/1999,1999
3585,M,POL,Department of Police,MSB Management and Budget Division Abandoned Vehicle Section,Fulltime-Regular,Abandoned Vehicle Code Enforcement Specialist,09/14/1987,1987
3586,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,05/15/2007,2007
3587,M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Program Specialist I,06/18/2012,2012
3588,F,LIB,Department of Public Libraries,Olney Library,Parttime-Regular,Library Assistant I,11/04/1991,1991
3589,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/18/2004,2004
3590,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),05/07/2001,2001
3591,M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,04/23/2012,2012
3592,M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007
3593,F,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Depot Supply Coordinator,02/18/2003,2003
3594,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/19/2008,2008
3595,F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
3596,M,POL,Department of Police,PSB 2nd District Traffic Squad,Fulltime-Regular,Police Officer III,02/21/1993,1993
3597,M,COR,Correction and Rehabilitation,PTS ACS Work Crew,Fulltime-Regular,Correctional Officer III (Corporal),07/16/2012,2012
3598,F,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist I,08/10/2012,2012
3599,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/21/1995,1995
3600,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
3601,M,DOT,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Work Force Leader III,05/11/1992,1992
3602,M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Fire/Rescue Captain,01/23/1995,1995
3603,M,POL,Department of Police,PSB 2nd District Station,Fulltime-Regular,Police Lieutenant,02/06/1995,1995
3604,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer II,02/14/2000,2000
3605,M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
3606,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
3607,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,09/08/2015,2015
3608,M,OHR,Office of Human Resources,Communications and Strategic Planning Team,Fulltime-Regular,Program Manager II,07/19/1999,1999
3609,F,LIB,Department of Public Libraries,Public Service Administration,Fulltime-Regular,Program Specialist I,01/29/2001,2001
3610,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/19/1997,1997
3611,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Administrative Specialist I,06/26/2006,2006
3612,M,PIO,Office of Public Information,MC311,Fulltime-Regular,Senior Information Technology Specialist,01/07/2008,2008
3613,M,POL,Department of Police,MSB Personnel Division Background Section,Fulltime-Regular,Background Screening Specialist,10/27/2014,2014
3614,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer II,07/14/2008,2008
3615,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
3616,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/17/1998,1998
3617,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Program Specialist I,08/11/2014,2014
3618,M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005
3619,F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Graphic Artist,05/14/1990,1990
3620,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/05/2002,2002
3621,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,08/05/1996,1996
3622,F,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,12/17/2000,2000
3623,M,POL,Department of Police,HQ Office of the Chief,Fulltime-Regular,Police Sergeant,07/08/2002,2002
3624,F,DLC,Department of Liquor Control,Walnut Hill,Parttime-Regular,Liquor Store Clerk I,08/07/2001,2001
3625,M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012
3626,F,DOT,Department of Transportation,Transit Management Services,Fulltime-Regular,Senior Financial Specialist,02/06/1990,1990
3627,M,SHF,Sheriff's Office,Child Support,Fulltime-Regular,Deputy Sheriff Lieutenant,09/02/1986,1986
3628,F,OHR,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Program Manager II,02/09/2015,2015
3629,F,DTS,Department of Technology Services,CIO Office - Integrated Justice Information Systems,Fulltime-Regular,Information Technology Project Manager,03/21/2005,2005
3630,M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Fiscal Assistant,06/26/2006,2006
3631,F,POL,Department of Police,PSB 4th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,01/18/1994,1994
3632,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/27/2014,2014
3633,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,03/03/1997,1997
3634,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Coordinator,01/07/2008,2008
3635,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007
3636,F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),01/07/2008,2008
3637,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
3638,M,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Librarian II,06/15/2015,2015
3639,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,01/14/2008,2008
3640,M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
3641,F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,02/11/2013,2013
3642,M,LIB,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Technician III,05/26/1998,1998
3643,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013
3644,M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006
3645,M,DLC,Department of Liquor Control,Westwood,Parttime-Regular,Liquor Store Clerk I,10/20/2014,2014
3646,M,POL,Department of Police,PSB 3rd District Educational Facilities Officers,Fulltime-Regular,Police Officer III,07/19/2004,2004
3647,F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,08/20/2007,2007
3648,M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Fire/Rescue Captain,02/17/1985,1985
3649,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,08/26/2013,2013
3650,F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,12/05/2010,2010
3651,F,COR,Correction and Rehabilitation,PRRS Pre-Release and Reentry Services,Fulltime-Regular,Principal Administrative Aide,01/14/2013,2013
3652,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Program Specialist II,01/24/1994,1994
3653,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2007,2007
3654,M,FRS,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/04/2007,2007
3655,F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,11/13/2007,2007
3656,F,DLC,Department of Liquor Control,Westwood,Fulltime-Regular,Liquor Store Manager,08/31/1999,1999
3657,M,DLC,Department of Liquor Control,Wheaton,Fulltime-Regular,Liquor Store Assistant Manager,09/18/1998,1998
3658,M,POL,Department of Police,FSB Special Operations Division Tactical Operations Section,Fulltime-Regular,Police Officer III,07/17/2006,2006
3659,M,FRS,Fire and Rescue Services,Fourth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,02/08/1999,1999
3660,M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Fire/Rescue Lieutenant,11/17/1997,1997
3661,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006
3662,F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,01/16/1990,1990
3663,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/28/2008,2008
3664,M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,02/06/2006,2006
3665,M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001
3666,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,09/19/2016,2016
3667,F,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
3668,M,REC,Department of Recreation,Lawton Community Recreation Center,Fulltime-Regular,Recreation Specialist,06/01/2003,2003
3669,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,04/02/2001,2001
3670,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/16/2008,2008
3671,F,DLC,Department of Liquor Control,Burtonsville,Parttime-Regular,Liquor Store Clerk I,08/19/2007,2007
3672,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
3673,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,05/21/1990,1990
3674,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012
3675,M,DLC,Department of Liquor Control,Downtown Rockville,Parttime-Regular,Liquor Store Clerk I,02/22/2016,2016
3676,F,LIB,Department of Public Libraries,Potomac Library,Fulltime-Regular,Librarian I,12/05/2014,2014
3677,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Client Assistance Specialist,12/30/2013,2013
3678,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,11/12/1991,1991
3679,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),04/28/2015,2015
3680,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/18/2005,2005
3681,F,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Manager I,10/03/1999,1999
3682,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/08/2012,2012
3683,M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
3684,M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist I,11/28/2016,2016
3685,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/04/2016,2016
3686,F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Services Aide III,02/04/2008,2008
3687,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker I,08/08/2016,2016
3688,F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Client Assistance Specialist,11/17/1986,1986
3689,F,REC,Department of Recreation,Finance/Payroll/Budget,Fulltime-Regular,Program Aide,11/13/2007,2007
3690,F,DLC,Department of Liquor Control,Fallsgrove,Fulltime-Regular,Liquor Store Clerk II,04/06/2015,2015
3691,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
3692,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,01/03/1995,1995
3693,F,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist III,09/28/1999,1999
3694,F,OHR,Office of Human Resources,Director's Office,Fulltime-Regular,Senior Executive Administrative Aide,08/14/2000,2000
3695,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/27/2016,2016
3696,F,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),06/01/2010,2010
3697,F,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,01/16/2007,2007
3698,F,DTS,Department of Technology Services,CIOs Office,Fulltime-Regular,Manager II,01/05/2009,2009
3699,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,03/08/2016,2016
3700,M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Executive Administrative Aide,10/29/1979,1979
3701,F,HHS,Department of Health and Human Services,Fiscal Team,Fulltime-Regular,Management and Budget Specialist III,01/09/2006,2006
3702,M,FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Fire/Rescue Captain,11/29/1999,1999
3703,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,11/04/2002,2002
3704,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,District Supervisor,08/14/2007,2007
3705,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/14/2008,2008
3706,M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),09/23/2002,2002
3707,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,04/19/2004,2004
3708,F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/16/2007,2007
3709,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,07/17/2006,2006
3710,M,POL,Department of Police,PSB 4th District Community Action Team,Fulltime-Regular,Police Officer III,07/21/2003,2003
3711,F,POL,Department of Police,MSB Personnel Division Recruitment Section,Fulltime-Regular,Police Officer III,01/10/2003,2003
